0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.0,430.981,401.623,836.151,922.565,423.97,2303.628,2916.855,1132.626,1064.441,506.671,1275.349,1035.299,934.206,1228.574,1008.648
429.165,0.0,535.507,682.921,769.335,145.433,2150.398,2763.625,1128.212,1060.027,764.491,1180.025,882.069,818.347,1075.344,855.418
404.292,509.551,0.0,964.333,1050.747,452.736,2431.81,3045.037,1034.488,966.303,441.218,1239.537,1163.481,938.959,1356.756,1136.83
835.005,719.025,974.216,0.0,178.992,638.342,1814.802,2428.029,1566.921,1498.736,1214.706,1618.734,242.737,1204.237,739.748,521.15
923.238,807.258,1062.449,178.992,0.0,726.575,1889.8,2503.027,1655.154,1586.969,1302.939,1706.967,354.314,1279.235,814.746,596.148
421.423,127.247,450.172,628.327,714.741,0.0,2095.804,2709.031,1042.877,974.692,690.662,1094.69,827.475,733.012,1020.75,800.824
2301.657,2185.677,2440.868,1814.338,1891.034,2104.994,0.0,869.121,3033.573,2965.388,2681.358,3085.386,2031.323,2246.403,1458.404,1603.502
2914.849,2798.869,3054.06,2427.53,2504.226,2718.186,869.121,0.0,3646.765,3578.58,3294.55,3698.578,2644.515,2859.595,2071.596,2216.694
1145.731,1109.637,1034.488,1564.419,1650.833,1052.822,3031.896,3645.123,0.0,317.437,1099.756,688.606,1763.567,1484.624,1956.842,1736.916
1077.546,1041.452,966.303,1496.234,1582.648,984.637,2963.711,3576.938,317.437,0.0,1031.571,474.004,1695.382,1265.846,1888.657,1668.731
502.881,751.278,438.785,1206.06,1292.474,694.463,2673.537,3286.764,1095.814,1031.432,0.0,1372.723,1405.208,1180.686,1598.483,1378.557
1291.906,1163.169,1248.398,1617.951,1704.365,1106.354,3085.428,3698.655,686.232,470.677,1372.862,0.0,1817.099,1275.062,2010.374,1790.448
1026.249,910.269,1165.46,239.939,351.516,829.586,2028.989,2642.216,1758.165,1689.98,1405.95,1809.978,0.0,1418.424,953.935,735.337
941.299,792.226,938.794,1205.77,1282.466,735.411,2245.061,2858.288,1479.824,1260.235,1179.284,1267.744,1422.755,0.0,1170.017,950.601
1226.273,1110.293,1365.484,738.954,815.65,1029.61,1458.074,2071.301,1958.189,1890.004,1605.974,2010.002,955.939,1171.028,0.0,528.118
1006.771,890.791,1145.982,519.452,596.148,810.108,1601.568,2214.795,1738.687,1670.502,1386.472,1790.5,736.437,949.906,526.514,0.0
